16J091305: Cótimos;19;5;155;21;74;356;348;84;
16J091307: Fiães;37;29;723;180;50;217;311;- -;
16J091309: Granja;142;23;1040;42;44;300;188;- -;
16J091310: Guilheiro;112;56;257;17;21;13184;189;12;
16J091311: Moimentinha;55;28;98;21;33;195;196;- -;
16J091312: Moreira de Rei;203;100;413;148;176;883;798;98;
16J091313: Palhais;38;34;489;9;8;16192;263;4;
16J091314: Póvoa do Concelho;449;39;155;75;59;449;244;- -;
16J091315: Reboleiro;46;20;434;66;11;273;315;30;
16J091316: Rio de Mel;120;27;464;91;15;258;198;45;
16J091321: Tamanhos;163;20;567;127;57;253;241;33;
16J091330: União das freguesias de Freches e Torres;104;17;1590;143;65;655;440;29;
16J091331: União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho;141;60;527;196;49;535;337;35;
16J091332: União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior;490;67;3187;469;136;1756;802;65;
16J091333: União das freguesias de Vale do Seixo e Vila Garcia;141;33;448;176;97;568;432;23;
16J091334: União das freguesias de Vila Franca das Naves e Feital;169;74;154;155;48;737;582;- -;
16J091335: União das freguesias de Vilares e Carnicães;216;69;1229;821;77;905;366;19;
16J091325: Valdujo;15;28;400;42;68;478;537;- -;
17: Área Metropolitana de Lisboa;51254;258186;89400;6266;3274;1864841;54204;3823;
170: Área Metropolitana de Lisboa;51254;258186;89400;6266;3274;1864841;54204;3823;
1701502: Alcochete;1515;17669;1687;30;111;2835;415;- -;
170150201: Alcochete;1515;15155;1606;28;107;2392;347;- -;
170150202: Samouco;- -;247;9;2;3;103;25;- -;
170150203: São Francisco;- -;2267;72;- -;1;340;43;- -;
1701503: Almada;355;249;1420;155;51;3582;874;- -;
170150303: Costa da Caparica;131;43;135;- -;16;1179;95;- -;
170150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;- -;19;- -;5;- -;86;5;- -;
170150313: União das freguesias de Caparica e Trafaria;95;152;841;50;11;1534;176;- -;
170150314: União das freguesias de Charneca de Caparica e Sobreda;116;35;444;100;19;755;598;- -;
170150315: União das freguesias de Laranjeiro e Feijó;13;- -;- -;- -;5;28;- -;- -;
1701115: Amadora;241;16;813;308;4;213;109;18;
170111512: Alfragide;- -;- -;62;157;- -;2;- -;- -;
170111513: Águas Livres;- -;- -;- -;- -;- -;- -;- -;- -;
170111514: Encosta do Sol;2;10;135;43;- -;95;44;- -;
170111515: Falagueira-Venda Nova;174;- -;126;- -;- -;6;- -;- -;
170111516: Mina de Água;65;6;490;108;4;110;65;- -;
170111517: Venteira;- -;- -;- -;- -;- -;- -;- -;18;
1701504: Barreiro;285;54;610;77;9;1850;263;18;
170150407: Santo António da Charneca;107;45;487;77;1;1278;172;18;
170150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena;146;5;12;- -;1;158;40;- -;
170150410: União das freguesias de Barreiro e Lavradio;- -;- -;- -;- -;- -;- -;- -;- -;
170150411: União das freguesias de Palhais e Coina;32;4;111;- -;7;414;51;- -;
1701105: Cascais;59;246;1591;148;11;289719;300;36;
170110501: Alcabideche;20;64;821;70;9;288247;179;- -;
170110506: São Domingos de Rana;27;172;580;26;2;1301;68;6;
170110507: União das freguesias de Carcavelos e Parede;- -;- -;23;- -;- -;40;- -;30;
170110508: União das freguesias de Cascais e Estoril;12;10;167;52;- -;131;53;- -;
1701106: Lisboa;- -;- -;- -;- -;- -;- -;- -;- -;
170110601: Ajuda;- -;- -;- -;- -;- -;- -;- -;- -;
170110602: Alcântara;- -;- -;- -;- -;- -;- -;- -;- -;
170110654: Alvalade;- -;- -;- -;- -;- -;- -;- -;- -;
170110655: Areeiro;- -;- -;- -;- -;- -;- -;- -;- -;
170110656: Arroios;- -;- -;- -;- -;- -;- -;- -;- -;
170110657: Avenidas Novas;- -;- -;- -;- -;- -;- -;- -;- -;
170110607: Beato;- -;- -;- -;- -;- -;- -;- -;- -;
170110658: Belém;- -;- -;- -;- -;- -;- -;- -;- -;
170110608: Benfica;- -;- -;- -;- -;- -;- -;- -;- -;
170110659: Campo de Ourique;- -;- -;- -;- -;- -;- -;- -;- -;
170110610: Campolide;- -;- -;- -;- -;- -;- -;- -;- -;
170110611: Carnide;- -;- -;- -;- -;- -;- -;- -;- -;
170110660: Estrela;- -;- -;- -;- -;- -;- -;- -;- -;
170110618: Lumiar;- -;- -;- -;- -;- -;- -;- -;- -;
170110621: Marvila;- -;- -;- -;- -;- -;- -;- -;- -;
170110661: Misericórdia;- -;- -;- -;- -;- -;- -;- -;- -;
170110633: Olivais;- -;- -;- -;- -;- -;- -;- -;- -;
170110662: Parque das Nações;- -;- -;- -;- -;- -;- -;- -;- -;
170110663: Penha de França;- -;- -;- -;- -;- -;- -;- -;- -;
170110664: Santa Clara;- -;- -;- -;- -;- -;- -;- -;- -;
170110665: Santa Maria Maior;- -;- -;- -;- -;- -;- -;- -;- -;
170110666: Santo António;- -;- -;- -;- -;- -;- -;- -;- -;
170110639: São Domingos de Benfica;- -;- -;- -;- -;- -;- -;- -;- -;
170110667: São Vicente;- -;- -;- -;- -;- -;- -;- -;- -;
1701107: Loures;2778;406;8115;551;188;272967;1675;906;
170110702: Bucelas;517;27;1863;77;49;3042;501;22;
170110705: Fanhões;43;1;641;70;25;15121;27;- -;
170110707: Loures;1058;64;2325;89;43;3203;620;71;
170110708: Lousa;302;252;922;139;12;250213;59;18;
170110731: União das freguesias de Camarate, Unhos e Apelação;34;24;813;113;31;358;64;42;
170110726: União das freguesias de Moscavide e Portela;- -;- -;- -;- -;- -;- -;- -;- -;
170110727: União das freguesias de Sacavém e Prior Velho;40;5;100;2;- -;20;- -;- -;
170110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;4;3;404;32;16;43;23;647;
170110729: União das freguesias de Santo Antão e São Julião do Tojal;580;20;1031;29;9;569;105;91;
170110730: União das freguesias de Santo António dos Cavaleiros e Frielas;200;10;16;- -;3;398;276;15;
1701109: Mafra;10900;34188;11316;383;518;930163;8856;326;
170110902: Carvoeira;5;38;19;2;1;769;175;1;
170110904: Encarnação;1294;1566;268;- -;8;265360;586;5;
170110906: Ericeira;5;29;77;- -;14;150693;280;- -;
170110909: Mafra;793;5121;1042;25;119;375209;1204;105;
170110911: Milharado;1718;1024;2895;134;144;4208;2162;35;
170110913: Santo Isidoro;287;7484;330;45;14;123612;124;22;
170110918: União das freguesias de Azueira e Sobral da Abelheira;543;1884;835;8;23;1727;393;14;
170110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;1815;339;2522;66;105;3281;1341;1;
170110920: União das freguesias de Igreja Nova e Cheleiros;501;51;325;5;9;1971;700;17;
170110921: União das freguesias de Malveira e São Miguel de Alcainça;2622;33;910;31;39;1142;633;117;
170110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;1317;16619;2093;67;42;2191;1258;9;
1701506: Moita;8641;9094;2154;154;120;8269;944;2;
170150601: Alhos Vedros;3058;2763;713;23;26;2179;396;- -;
170150603: Moita;5217;5157;1434;131;82;5881;527;- -;
170150607: União das freguesias de Baixa da Banheira e Vale da Amoreira;256;- -;- -;- -;11;27;- -;2;
170150608: União das freguesias de Gaio-Rosário e Sarilhos Pequenos;110;1174;7;- -;1;182;21;- -;
1701507: Montijo;5501;75960;13486;220;199;74105;2014;344;
170150701: Canha;2209;23688;5619;33;76;63405;364;18;
170150704: Sarilhos Grandes;1330;16718;1311;102;29;1789;172;- -;
170150709: União das freguesias de Atalaia e Alto Estanqueiro-Jardia;175;13593;1064;8;38;2873;645;- -;
170150710: União das freguesias de Montijo e Afonsoeiro;185;4844;999;17;17;565;94;- -;
170150711: União das freguesias de Pegões;1602;17117;4493;60;39;5473;739;326;
1701116: Odivelas;708;59;1482;92;16;1780;274;255;
170111603: Odivelas;- -;16;58;21;8;172;48;112;
170111608: União das freguesias de Pontinha e Famões;43;23;622;19;2;305;23;5;
170111609: União das freguesias de Póvoa de Santo Adrião e Olival Basto;2;3;102;21;- -;166;11;- -;
170111610: União das freguesias de Ramada e Caneças;663;17;700;31;6;1137;192;138;
1701110: Oeiras;179;113;729;103;33;637;152;59;
170111002: Barcarena;36;46;256;74;15;295;110;19;
170111009: Porto Salvo;1;50;77;- -;11;26;14;- -;
170111012: União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;- -;- -;- -;- -;- -;- -;- -;- -;
170111013: União das freguesias de Carnaxide e Queijas;142;17;67;29;4;233;28;- -;
170111014: União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;- -;- -;329;- -;3;83;- -;40;
1701508: Palmela;10216;96765;19289;618;454;74507;26015;112;
170150802: Palmela;294;11033;2488;209;53;37212;824;44;
170150803: Pinhal Novo;5578;9785;3870;82;180;17485;2248;6;
170150804: Quinta do Anjo;156;39256;3996;208;2;2470;140;39;
170150806: União das freguesias de Poceirão e Marateca;4188;36691;8935;119;219;17340;22803;23;
1701510: Seixal;350;9403;1158;223;33;2321;353;17;
170151002: Amora;23;40;175;109;9;788;104;1;
170151005: Corroios;171;2;74;- -;2;84;30;2;
170151006: Fernão Ferro;39;47;269;15;8;631;126;8;
170151007: União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires;117;9314;640;99;14;818;93;6;
1701511: Sesimbra;736;351;3580;980;83;5847;1474;124;
170151103: Quinta do Conde;- -;- -;- -;- -;11;- -;- -;- -;
170151101: Sesimbra (Castelo);736;351;3565;956;72;5819;1474;124;
170151102: Sesimbra (Santiago);- -;- -;15;24;- -;28;- -;- -;
1701512: Setúbal;1483;1837;7855;306;678;30415;790;420;
170151207: Gâmbia-Pontes-Alto da Guerra;521;623;1774;17;22;3370;174;- -;
170151208: Sado;29;60;729;6;11;1909;21;5;
170151205: Setúbal (São Sebastião);192;27;2033;132;10;21025;69;15;
170151209: União das freguesias de Azeitão (São Lourenço e São Simão);293;1116;2447;126;78;3180;312;200;
170151210: União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);448;11;872;25;557;931;214;200;
1701111: Sintra;3345;10017;9380;1226;445;95477;8700;1170;
170111102: Algueirão-Mem Martins;221;41;330;97;71;1967;124;101;
170111115: Casal de Cambra;4;2;50;44;3;50;- -;13;
170111105: Colares;15;40;1252;13;8;3461;1111;33;
170111108: Rio de Mouro;151;92;580;35;22;503;11;78;
170111122: União das freguesias de Agualva e Mira-Sintra;- -;- -;- -;- -;- -;- -;- -;- -;
170111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;1783;1144;3240;489;157;5776;1676;95;
170111125: União das freguesias de Massamá e Monte Abraão;- -;- -;- -;- -;- -;- -;- -;- -;
170111126: União das freguesias de Queluz e Belas;24;67;588;99;91;172;24;182;
170111127: União das freguesias de São João das Lampas e Terrugem;596;8196;1737;101;31;80617;5063;288;
170111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);546;435;1592;335;62;2777;684;311;
170111124: União das freguesias do Cacém e São Marcos;- -;- -;- -;- -;- -;- -;- -;- -;
1701114: Vila Franca de Xira;3962;1759;4735;692;321;70154;996;16;
170111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz;150;324;890;314;19;66541;366;5;
170111413: União das freguesias de Alverca do Ribatejo e Sobralinho;489;60;764;202;2;965;400;- -;
170111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras;182;1333;221;94;16;1002;99;- -;
170111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa;- -;4;7;7;- -;33;- -;- -;
170111408: Vialonga;15;- -;1672;26;12;427;89;- -;
170111409: Vila Franca de Xira;3126;38;1181;49;272;1186;42;11;
18: Alentejo;455911;808584;1548928;131870;16762;6293786;73070;63756;
181: Alentejo Litoral;62910;150305;172661;16482;1912;1347414;8542;12130;
1811501: Alcácer do Sal;21144;14825;37880;987;374;14162;372;1256;
181150106: Comporta;200;51;20;62;12;1714;186;100;
181150105: São Martinho;354;71;514;3;- -;295;- -;506;
181150104: Torrão;7309;10046;21329;410;113;5405;39;53;
181150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;13281;4657;16017;512;249;6748;147;597;
1811505: Grândola;5300;37269;34038;2547;163;21679;2268;3047;
181150501: Azinheira dos Barros e São Mamede do Sádão;2323;3747;6684;1006;25;1154;50;76;
181150505: Carvalhal;85;182;9;272;8;864;11;48;
181150503: Melides;385;2416;2935;267;23;5608;882;419;
181150506: União das freguesias de Grândola e Santa Margarida da Serra;2507;30924;24410;1002;107;14053;1325;2504;
1810211: Odemira;20449;15316;45668;8345;951;36603;1924;5897;
181021116: Boavista dos Pinheiros;- -;- -;- -;- -;- -;- -;- -;- -;
181021118: Colos;939;1227;5239;140;56;1833;83;95;
181021117: Longueira/Almograve;- -;- -;- -;- -;- -;- -;- -;- -;
181021115: Luzianes-Gare;473;858;3591;770;31;1377;27;50;
181021102: Relíquias;840;698;1790;1393;60;2634;111;547;
181021103: Sabóia;843;1192;2678;365;69;2251;141;357;
181021119: Santa Clara-a-Velha;461;792;3129;108;79;2002;14;498;
181021106: São Luís;2038;1310;5061;657;145;2935;363;12;
181021107: São Martinho das Amoreiras;308;1502;3726;1007;83;2798;85;2024;
181021120: São Salvador e Santa Maria;5682;1684;3227;2642;114;6033;369;752;
181021121: São Teotónio;6523;3246;6456;753;217;10032;356;668;
181021122: Vale de Santiago;1094;2271;6054;40;71;1412;103;22;
181021111: Vila Nova de Milfontes;839;178;1757;457;14;2349;211;- -;
1811509: Santiago do Cacém;13957;76293;47521;4121;310;1266231;3526;1380;
181150901: Abela;1303;24795;8560;535;36;22226;202;5;
181150902: Alvalade;2816;2971;5180;139;32;1216903;42;- -;
181150903: Cercal;3763;6057;6236;260;100;4781;471;237;
181150904: Ermidas-Sado;1449;2892;4710;316;- -;1083;11;2;
181150907: Santo André;791;831;761;95;17;4103;576;102;
181150910: São Francisco da Serra;48;5560;3596;296;7;2275;617;484;
181150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;940;26425;11533;1565;95;10742;1446;550;
181150913: União das freguesias de São Domingos e Vale de Água;2847;6762;6945;915;23;4118;161;- -;
1811513: Sines;2060;6602;7554;482;114;8739;452;550;
181151302: Porto Covo;1169;294;4624;8;75;6117;181;- -;
181151301: Sines;891;6308;2930;474;39;2622;271;550;
184: Baixo Alentejo;81610;77053;511038;36693;3291;275999;3568;20101;
1840201: Aljustrel;5636;1226;28836;469;68;1196;- -;380;
184020102: Ervidel;10;- -;954;- -;3;76;- -;- -;
184020103: Messejana;2489;713;8098;109;9;774;- -;260;
184020104: São João de Negrilhos;671;103;4028;320;5;55;- -;- -;
184020106: União das freguesias de Aljustrel e Rio de Moinhos;2466;410;15756;40;51;291;- -;120;
1840202: Almodôvar;3009;9096;44321;5445;280;12579;480;10621;
184020208: Aldeia dos Fernandes;126;178;1790;108;17;473;- -;83;
184020203: Rosário;601;567;5361;220;10;956;66;- -;
184020205: Santa Cruz;288;506;7184;1263;32;1224;36;268;
184020206: São Barnabé;201;2505;1611;636;42;1807;109;3743;
184020209: União das freguesias de Almodôvar e Graça dos Padrões;1021;2248;17822;1031;59;3583;162;4437;
184020210: União das freguesias de Santa Clara-a-Nova e Gomes Aires;772;3092;10553;2187;120;4536;107;2090;
1840203: Alvito;3274;418;13820;93;66;1618;- -;30;
184020301: Alvito;1803;63;7845;80;42;544;- -;30;
184020302: Vila Nova da Baronia;1471;355;5975;13;24;1074;- -;- -;
1840204: Barrancos;3390;3013;4776;1465;145;832;7;81;
184020401: Barrancos;3390;3013;4776;1465;145;832;7;81;
1840205: Beja;7116;8274;52569;4973;411;110715;2159;56;
184020502: Baleizão;1160;3888;5815;68;83;754;3;- -;
184020503: Beringel;- -;34;3369;- -;7;186;- -;- -;
184020504: Cabeça Gorda;619;1108;2889;405;39;534;12;10;
184020506: Nossa Senhora das Neves;694;565;2694;282;25;3288;26;- -;
184020510: Santa Clara de Louredo;648;175;2085;69;3;193;- -;- -;
184020516: São Matias;466;78;1803;3;15;445;- -;- -;
184020519: União das freguesias de Albernoa e Trindade;654;521;13362;828;39;525;49;- -;
184020520: União das freguesias de Beja (Salvador e Santa Maria da Feira);288;388;1803;24;86;101407;145;- -;
184020521: União das freguesias de Beja (Santiago Maior e São João Baptista);158;63;975;71;15;597;14;- -;
184020522: União das freguesias de Salvada e Quintos;1493;791;9404;2774;48;1208;2;46;
184020523: União das freguesias de Santa Vitória e Mombeja;736;653;5302;299;36;811;6;- -;
184020524: União das freguesias de Trigaches e São Brissos;200;10;3068;150;15;767;1902;- -;
1840206: Castro Verde;7094;3158;40760;951;78;5048;139;41;
184020603: Entradas;1057;442;2742;121;16;684;16;10;
184020604: Santa Bárbara de Padrões;364;134;2354;6;5;484;28;3;
184020605: São Marcos da Ataboeira;869;660;7323;123;21;566;- -;- -;
184020606: União das freguesias de Castro Verde e Casével;4804;1922;28341;701;36;3314;95;28;
1840207: Cuba;12746;10520;8759;577;108;19768;62;24;
184020701: Cuba;1856;6760;5727;372;37;18452;60;- -;
184020702: Faro do Alentejo;10266;3360;1352;- -;3;338;- -;- -;
184020703: Vila Alva;522;95;536;151;34;381;2;- -;
184020704: Vila Ruiva;102;305;1144;54;34;597;- -;24;
1840208: Ferreira do Alentejo;6522;6307;35822;547;179;83408;- -;61;
184020803: Figueira dos Cavaleiros;1727;1920;9300;118;98;344;- -;- -;
184020804: Odivelas;1151;11;1108;21;- -;81;- -;- -;
184020807: União das freguesias de Alfundão e Peroguarda;953;198;6902;25;60;- -;- -;- -;
184020808: União das freguesias de Ferreira do Alentejo e Canhestros;2691;4178;18512;383;21;82983;- -;61;
1840209: Mértola;3593;5083;94565;4265;259;8921;71;2755;
184020901: Alcaria Ruiva;495;2938;24606;288;13;1608;2;28;
184020902: Corte do Pinto;426;508;5820;1658;60;1108;- -;487;
184020903: Espírito Santo;238;358;4928;318;22;659;- -;306;
184020904: Mértola;741;332;22247;698;82;1140;5;1123;
184020905: Santana de Cambas;1114;670;14135;298;31;1787;36;518;
184020906: São João dos Caldeireiros;102;125;8440;127;12;704;21;94;
184020910: União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;477;152;14389;878;39;1915;7;199;
1840210: Moura;11550;7816;29769;7204;471;8358;117;2229;
184021001: Amareleja;1680;2383;5306;1681;73;308;- -;10;
184021002: Póvoa de São Miguel;2793;1619;5477;943;65;1409;4;- -;
184021008: Sobral da Adiça;2149;207;3567;403;149;972;81;121;
184021009: União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;2729;2094;13150;1068;115;4315;- -;1472;
184021010: União das freguesias de Safara e Santo Aleixo da Restauração;2199;1513;2269;3109;69;1354;32;626;
1840212: Ourique;6935;11971;45070;3329;412;9053;256;3183;
184021203: Ourique;3188;5097;28809;1297;152;3246;67;102;
184021206: Santana da Serra;563;2571;5143;1314;143;3693;108;1894;
184021207: União das freguesias de Garvão e Santa Luzia;1245;2943;4678;424;72;1300;61;1187;
184021208: União das freguesias de Panoias e Conceição;1939;1360;6440;294;45;814;20;- -;
1840213: Serpa;7733;9680;91949;4157;726;13099;264;560;
184021302: Brinches;928;256;7001;249;76;300;4;40;
184021303: Pias;676;807;10761;1032;54;2633;95;- -;
184021308: União das freguesias de Serpa (Salvador e Santa Maria);3197;2069;38308;1355;220;2592;14;244;
184021309: União das freguesias de Vila Nova de São Bento e Vale de Vargo;2033;5267;28000;676;164;4478;66;62;
184021307: Vila Verde de Ficalho;899;1281;7879;845;212;3096;85;214;
1840214: Vidigueira;3012;491;20022;3218;88;1404;13;80;
184021401: Pedrógão;1014;314;7435;275;7;122;- -;20;
184021402: Selmes;1522;69;8942;1599;28;428;7;- -;
184021403: Vidigueira;307;11;1867;386;22;418;- -;20;
184021404: Vila de Frades;169;97;1778;958;31;436;6;40;
185: Lezíria do Tejo;63643;342356;72586;11921;4124;4212286;32238;4113;
1851403: Almeirim;1263;2296;3145;63;130;27142;2013;633;
185140301: Almeirim;172;517;729;1;19;2265;492;104;
185140302: Benfica do Ribatejo;227;53;101;10;95;12188;524;47;
185140303: Fazendas de Almeirim;17;756;1575;47;13;12302;942;456;
185140304: Raposa;847;970;740;5;3;387;55;26;
1851404: Alpiarça;939;5917;2851;14;25;4939;667;327;
185140401: Alpiarça;939;5917;2851;14;25;4939;667;327;
1851103: Azambuja;3671;37802;2443;1369;596;305747;1597;388;
185110301: Alcoentre;695;1467;352;361;41;56220;824;27;
185110302: Aveiras de Baixo;750;9921;381;22;85;478;30;- -;
185110303: Aveiras de Cima;158;2864;478;757;65;169387;291;49;
185110304: Azambuja;1662;17246;582;182;321;51055;144;280;
185110310: União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;358;6264;549;37;73;28427;221;32;
185110306: Vale do Paraíso;40;39;72;8;6;45;87;- -;
185110307: Vila Nova da Rainha;8;1;29;2;5;135;- -;- -;
1851405: Benavente;13647;16931;6035;111;781;115561;914;343;
185140504: Barrosa;811;6;- -;- -;- -;218;13;- -;
185140501: Benavente;4242;4075;1484;34;102;107780;255;150;
185140502: Samora Correia;7731;12786;3310;35;598;4940;606;189;
185140503: Santo Estêvão;863;64;1241;42;81;2623;40;4;
1851406: Cartaxo;4250;33295;2084;94;299;369054;742;52;
185140604: Pontével;3409;5067;592;43;63;195615;123;32;
185140610: União das freguesias de Ereira e Lapa;97;1155;53;9;44;7426;357;14;
185140609: União das freguesias do Cartaxo e Vale da Pinta;272;16572;578;28;62;148130;196;- -;
185140605: Valada;100;2237;616;1;107;139;13;1;
185140608: Vale da Pedra;244;7;69;10;15;652;12;5;
185140607: Vila Chã de Ourique;128;8257;176;3;8;17092;41;- -;
1851407: Chamusca;5528;4338;6406;304;213;9800;787;145;
185140707: Carregueira;2;13;337;17;47;1333;451;35;
185140704: Ulme;288;4071;1002;16;21;152;40;- -;
185140708: União das freguesias da Chamusca e Pinheiro Grande;632;30;1351;174;97;6664;126;61;
185140709: União das freguesias de Parreira e Chouto;2167;162;3691;97;47;1264;151;49;
185140705: Vale de Cavalos;2439;62;25;- -;1;387;19;- -;
1851409: Coruche;16706;20645;20442;1881;679;145655;1866;959;
185140907: Biscainho;1451;253;1;- -;41;1254;71;13;
185140905: Branca;2391;3928;3235;3;64;2404;217;3;
185140902: Couço;4930;369;5248;275;235;1787;118;264;
185140908: Santana do Mato;930;3393;3382;189;23;130938;51;213;
185140903: São José da Lamarosa;1735;312;2679;242;31;3302;681;229;
185140909: União das freguesias de Coruche, Fajarda e Erra;5269;12390;5897;1172;285;5970;728;237;
1851412: Golegã;495;268;485;77;82;221;105;- -;
185141201: Azinhaga;9;192;245;77;3;62;- -;- -;
185141202: Golegã;486;9;200;- -;79;117;17;- -;
185141203: Pombalinho;- -;67;40;- -;- -;42;88;- -;
1851414: Rio Maior;3237;110269;5644;3362;137;1982888;8036;254;
185141401: Alcobertas;129;15648;981;1181;7;621680;554;78;
185141402: Arrouquelas;1470;2661;80;73;8;86078;2334;6;
185141410: Asseiceira;50;3592;35;12;5;16076;79;- -;
185141405: Fráguas;46;11446;295;478;8;200944;1081;- -;
185141408: Rio Maior;867;22225;1636;722;54;648199;3401;80;
185141411: São Sebastião;60;6789;242;124;2;111343;155;66;
185141415: União das freguesias de Azambujeira e Malaqueijo;34;5692;1035;387;16;138118;292;24;
185141416: União das freguesias de Marmeleira e Assentiz;50;7844;507;30;9;25500;- -;- -;
185141417: União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões;236;10417;352;7;16;17687;20;- -;
185141418: União das freguesias de São João da Ribeira e Ribeira de São João;295;23955;481;348;12;117263;120;- -;
1851415: Salvaterra de Magos;3039;13759;2072;171;358;11183;3801;114;
185141502: Marinhais;1157;4578;608;99;15;1266;223;- -;
185141503: Muge;539;9;179;- -;99;516;24;3;
185141507: União das freguesias de Glória do Ribatejo e Granho;80;597;125;56;29;2201;452;104;
185141508: União das freguesias de Salvaterra de Magos e Foros de Salvaterra;1263;8575;1160;16;215;7200;3102;7;
1851416: Santarém;10868;96836;20979;4475;824;1240096;11710;898;
185141601: Abitureiras;933;362;3948;261;28;48773;80;- -;
185141602: Abrã;207;845;386;415;12;747;391;102;
185141604: Alcanede;1002;12258;2703;1185;58;275705;1488;302;
185141605: Alcanhões;712;2334;581;- -;32;16;- -;- -;
185141606: Almoster;685;34222;648;387;17;111565;3018;10;
185141607: Amiais de Baixo;- -;515;26;67;6;2541;14;- -;
185141608: Arneiro das Milhariças;12;182;389;51;17;858;163;5;
185141628: Gançaria;31;1604;143;83;2;19312;103;- -;
185141613: Moçarria;105;164;195;160;13;62604;252;12;
185141614: Pernes;155;3438;1185;137;15;308938;82;300;
185141616: Póvoa da Isenta;193;7094;428;2;22;126637;32;18;
185141629: União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém;1298;771;1520;25;36;127742;1798;8;
185141630: União das freguesias de Azoia de Cima e Tremês;128;3325;1486;236;21;22051;712;73;
185141631: União das freguesias de Casével e Vaqueiros;173;163;971;685;38;66600;2476;5;
185141632: União das freguesias de Romeira e Várzea;593;7063;903;10;21;9289;88;12;
185141633: União de freguesias da cidade de Santarém;435;4184;462;456;53;4637;294;42;
185141634: União das freguesias de São Vicente do Paul e Vale de Figueira;3806;17735;4427;201;121;15578;654;9;
185141625: Vale de Santarém;400;577;578;114;312;36503;65;- -;
186: Alto Alentejo;99695;41976;340955;32903;3975;89435;24250;13019;
1861201: Alter do Chão;9149;234;19858;678;475;873;25;126;
186120101: Alter do Chão;3908;159;5269;39;376;150;- -;- -;
186120102: Chancelaria;909;22;4039;47;20;479;25;6;
186120104: Cunheira;1262;46;4389;555;35;139;- -;90;
186120103: Seda;3070;7;6161;37;44;105;- -;30;
1861202: Arronches;9394;4733;18129;1033;205;6302;731;134;
186120201: Assunção;7162;963;10491;97;128;2215;182;45;
186120202: Esperança;802;3217;5032;591;47;2568;403;76;
186120203: Mosteiros;1430;553;2606;345;30;1519;146;13;
1861203: Avis;6043;1919;39261;601;112;2046;75;1131;
186120302: Aldeia Velha;469;376;5738;24;3;158;1;38;
186120303: Avis;538;1056;11378;29;3;251;- -;695;
186120305: Ervedal;197;14;6797;13;1;625;- -;43;
186120306: Figueira e Barros;613;177;4346;36;16;271;- -;105;
186120309: União das freguesias de Alcórrego e Maranhão;1104;150;3473;454;6;264;- -;57;
186120310: União das freguesias de Benavila e Valongo;3122;146;7529;45;83;477;74;193;
1861204: Campo Maior;3332;339;6119;208;168;2691;126;3;
186120401: Nossa Senhora da Expectação;678;93;2867;25;76;1306;124;- -;
186120402: Nossa Senhora da Graça dos Degolados;721;141;1967;- -;8;274;- -;- -;
186120403: São João Baptista;1933;105;1285;183;84;1111;2;3;
1861205: Castelo de Vide;4427;113;8581;1351;272;1881;276;84;
186120501: Nossa Senhora da Graça de Póvoa e Meadas;1316;28;2996;104;41;242;40;2;
186120502: Santa Maria da Devesa;549;32;1775;444;26;648;120;1;
186120503: Santiago Maior;1197;26;1523;163;4;428;45;10;
186120504: São João Baptista;1365;27;2287;640;201;563;71;71;
1861206: Crato;9454;573;19773;2177;240;4168;680;305;
186120601: Aldeia da Mata;259;21;2458;58;17;558;104;26;
186120604: Gáfete;977;24;2709;30;50;582;260;- -;
186120605: Monte da Pedra;358;20;1760;238;25;293;92;192;
186120607: União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso;7860;508;12846;1851;148;2735;224;87;
1861207: Elvas;17181;6910;28104;1132;496;8320;10868;280;
186120712: Assunção, Ajuda, Salvador e Santo Ildefonso;2165;227;5223;6;59;1220;22;9;
186120713: Caia, São Pedro e Alcáçova;1050;472;4340;240;65;898;8416;- -;
